序号,作者,作品,01162024,01092024,12312023
0,木苏里,某某,37576519680,37524287488,37424041984
1,木苏里,全球高考,37319299072,37270401024,37186535424
2,西子绪,死亡万花筒,32614754304,32596123648,32574513152
3,木苏里,判官,31991879680,31953909760,31892336640
4,淮上,破云,31730167808,31723845632,31714418688
5,酱子贝,我行让我来[电竞],31536328704,31493550080,31428118528
6,淮上,破云2吞海,31279298560,31276285952,31270897664
7,桑沃,欢迎进入梦魇直播间,30607216640,30449225728,30257954816
8,巫哲,撒野,28222269440,28199892992,28151703552
9,壶鱼辣椒,我在无限游戏里封神,24288249856,24276533248,24241162240
10,漫漫何其多,AWM[绝地求生],23484694528,23480750080,23473811456
11,木苏里,不见上仙三百年,22649378816,22620909568,22572650496
12,酱子贝,放学等我,22437535744,22371780608,22265544704
13,priest,烈火浇愁,22009409536,22013827072,22017939456
14,淮上,洄天,20489172992,20344920064,20311001088
15,漫漫何其多,FOG[电竞],20388804608,20373417984,20350349312
16,莫晨欢,地球上线,19848091648,19839285248,19826755584
17,稚楚,营业悖论[娱乐圈],19669354496,19662141440,19636092928
18,骑鲸南去,不要在垃圾桶里捡男朋友[快穿],19494019072,19479789568,19456094208
19,唐酒卿,将进酒,19175991296,19151634432,19119495168
20,巫哲,嚣张,18932234240,18932826112,18928607232
21,一十四洲,小蘑菇,18718382080,18692743168,18650826752
22,巫哲,轻狂,18691715072,18691891200,18686943232
23,priest,默读,17155939328,17157604352,17156111360
24,漫漫何其多,当年万里觅封侯,17130389504,17125224448,17119484928
25,西子绪,我五行缺你,17099558912,17098938368,17096478720
26,巫哲,解药,16029427712,16028005376,16022496256
27,绿野千鹤,迪奥先生,15987730432,15987150848,15984263168
28,拉棉花糖的兔子,兼职无常后我红了,15879057408,15876541440,15874976768
29,酱子贝,网恋翻车指南,15542495232,15530781696,15508547584
30,稚楚,我只喜欢你的人设[娱乐圈],15402631168,15389956096,15364058112
31,燕孤鸿,无限旅游团,14549137408,14519448576,14477337600
32,木苏里,一级律师[星际],14437496832,14413747200,14374761472
33,拉棉花糖的兔子,我开动物园那些年,14411450368,14410373120,14409849856
34,淮上,剑名不奈何,14264539136,14256839680,14244629504
35,巫哲,一个钢镚儿,14208808960,14211945472,14213207040
36,引路星,我喜欢你的信息素,14093879296,14089635840,14077961216
37,西子绪,幻想农场,13587089408,13588811776,13593129984
38,稚楚,可爱过敏原,13280035840,13263255552,13231532032
39,priest,残次品,13236825088,13238307840,13236614144
40,望三山,这该死的求生欲[穿书],13042966528,13034294272,13019067392
41,妄鸦,无限练习生,13030426624,13008552960,12976253952
42,酱子贝,我喜欢你男朋友很久了,12819809280,12791915520,12751721472
43,拉棉花糖的兔子,非职业半仙,12739516416,12739280896,12740408320
44,巫哲,三伏,12576045056,12572674048,12566047744
45,蝶之灵,全能中单（电竞）,12387278848,12370691072,12349328384
46,北南,跨界演员,12169938944,12160497664,12144159744
47,西子绪,骷髅幻戏图,12106621952,12107482112,12109310976
48,MRA,直播写纯爱文的我在虫族封神,11730204672,11387438080,10682141696
49,木苏里,铜钱龛世,11652725760,11636499456,11608034304
50,北南,别来无恙,11529804800,11512226816,11485550592
51,北南,碎玉投珠,11523586048,11517698048,11508661248
52,priest,杀破狼,11484315648,11481585664,11474830336
53,厉冬忍,两A相逢必有一O,11341484032,11321208832,11286432768
54,戏子祭酒,灵异片演员app[无限],11319959552,11292828672,11257142272
55,稚楚,悬日,11185830912,11169120256,11143557120
56,酱子贝,PUBG世纪网恋,11178001408,11165768704,11145607168
57,淮上,不死者,11071311872,11062187008,11047143424
58,颜凉雨,空降热搜[娱乐圈],10924879872,10926117888,10926783488
59,君sola,探虚陵现代篇,10906517504,10904371200,10908824576
60,骑鲸南去,万有引力[无限流],10833436672,10823882752,10808087552
61,酱子贝,我死对头终于破产了,10749674496,10729364480,10700707840
