0,1,2,3,4,5,6,7
序号,作者,作品,类型,进度,字数,作品积分,发表时间
1,木苏里,某某,原创-纯爱-近代现代-爱情,完结,438115,37424041984,2019-08-07 18:56:00
2,木苏里,全球高考,原创-纯爱-近代现代-剧情,完结,589514,37186535424,2018-10-10 20:03:00
3,西子绪,死亡万花筒,原创-纯爱-近代现代-爱情,完结,857083,32574513152,2018-01-12 09:10:00
4,木苏里,判官,原创-纯爱-近代现代-奇幻,完结,539210,31892336640,2020-04-27 22:38:38
5,淮上,破云,原创-纯爱-近代现代-悬疑,完结,817354,31714418688,2017-12-15 12:36:06
6,酱子贝,我行让我来[电竞],原创-纯爱-近代现代-爱情,完结,539391,31428118528,2020-06-28 10:00:00
7,淮上,破云2吞海,原创-纯爱-近代现代-悬疑,完结,855167,31270897664,2019-05-10 16:25:13
8,桑沃,欢迎进入梦魇直播间,原创-纯爱-近代现代-悬疑,连载,3074214,30257954816,2021-11-07 12:00:00
9,巫哲,撒野,原创-纯爱-近代现代-爱情,完结,899776,28151703552,2016-10-30 10:30:00
10,壶鱼辣椒,我在无限游戏里封神,原创-纯爱-近代现代-爱情,完结,2573786,24241162240,2020-06-24 18:00:00
11,漫漫何其多,AWM[绝地求生],原创-纯爱-近代现代-爱情,完结,330466,23473811456,2018-01-24 20:09:08
12,木苏里,不见上仙三百年,原创-纯爱-架空历史-爱情,完结,533344,22572650496,2021-11-30 21:02:30
13,酱子贝,放学等我,原创-纯爱-近代现代-爱情,完结,382237,22265544704,2022-01-04 20:00:00
14,priest,烈火浇愁,原创-纯爱-近代现代-奇幻,完结,783098,22017939456,2018-12-31 18:00:00
15,漫漫何其多,FOG[电竞],原创-纯爱-近代现代-爱情,完结,510136,20350349312,2019-07-30 10:15:15
16,淮上,洄天,原创-纯爱-近代现代-奇幻,连载,701801,20311001088,2022-12-17 08:07:43
17,莫晨欢,地球上线,原创-纯爱-近代现代-爱情,完结,1341652,19826755584,2017-11-15 10:00:00
18,稚楚,营业悖论[娱乐圈],原创-纯爱-近代现代-爱情,完结,666343,19636092928,2020-01-29 21:00:00
19,骑鲸南去,不要在垃圾桶里捡男朋友[快穿],原创-纯爱-近代现代-爱情,完结,1369880,19456094208,2018-05-02 02:22:22
20,唐酒卿,将进酒,原创-纯爱-架空历史-爱情,完结,1042260,19119495168,2018-10-01 19:00:00
21,巫哲,嚣张,原创-纯爱-近代现代-爱情,完结,545594,18928607232,2019-05-31 19:40:00
22,巫哲,轻狂,原创-纯爱-近代现代-爱情,完结,603363,18686943232,2018-10-15 10:10:10
23,一十四洲,小蘑菇,原创-纯爱-幻想未来-科幻,完结,313845,18650826752,2019-10-17 06:00:00
24,priest,默读,原创-纯爱-近代现代-悬疑,完结,801097,17156111360,2016-06-15 11:00:00
25,漫漫何其多,当年万里觅封侯,原创-纯爱-架空历史-爱情,完结,382080,17119484928,2018-08-26 12:30:00
26,西子绪,我五行缺你,原创-纯爱-近代现代-爱情,完结,776165,17096478720,2017-06-10 10:00:00
27,巫哲,解药,原创-纯爱-近代现代-爱情,完结,589362,16022496256,2018-03-30 10:10:00
28,绿野千鹤,迪奥先生,原创-纯爱-近代现代-爱情,完结,314212,15984263168,2018-01-16 11:30:00
